,Feature Importance - Age Adjusted Rate Endocrine,Feature Importance - Age Adjusted Rate Obesity,Feature Importance - Age Adjusted Rate Metabolic,Feature Importance - Age Adjusted Rate Diabetes,Feature Importance - Age Adjusted Rate Circulatory,Feature Importance - Age Adjusted Rate Pulmonary,Feature Importance - Age Adjusted Rate Arteries,Feature Importance - Age Adjusted Rate Hypertension,Feature Importance - Age Adjusted Rate External,Feature Importance - Age Adjusted Rate Assault,Feature Importance - Age Adjusted Rate Intentional,Feature Importance - Age Adjusted Rate Transport,Feature Importance - Age Adjusted Rate Mental,Feature Importance - Age Adjusted Rate Psychoactive,Feature Importance - Age Adjusted Rate Neoplasms,Feature Importance - Age Adjusted Rate MalignantDigestive,Feature Importance - Age Adjusted Rate MalignantBreast,Feature Importance - Age Adjusted Rate MalignantFemale,Feature Importance - Age Adjusted Rate MalignantMale,Feature Importance - Age Adjusted Rate MalignantEndocrine,Feature Importance - Age Adjusted Rate All
lablack10share Log10,0.11673931159764349,0.09189293622758381,0.04161766751431374,0.08649434906908877,0.23023400621405318,0.2427470537449085,0.20720740465247167,0.37711292031195054,0.09279354827473692,0.12012002341249213,0.14546855772262582,0.058692581894080276,0.17279076398428167,0.11424248039625998,0.10707477133624829,0.23238972415653145,0.25136568753249505,0.14921361097233923,0.09284591679224596,0.0,0.13727260968781502
lablack20share Log10,0.0020222981551208676,0.010129990403475932,0.004439891632428031,0.008155514193198897,0.013013436352896847,0.012716432312163503,0.001067415321846451,0.0007960518275651604,0.009953808833529951,0.0014823613319832744,0.029956205646188817,0.010303944811059045,0.010425546989923042,0.029743292739881726,0.008857470762836684,0.025961862467198695,0.008265461224564686,0.000188566696135662,0.0015287414935321057,0.0,0.014467793122514202
lahisp10share Log10,0.15454486535066733,0.11342142871513859,0.10602356716797955,0.09709828215649832,0.11931671328062171,0.06595823218259912,0.0374256597835615,0.19395602866072978,0.14759185418516388,0.11208245252957763,0.0861117300827177,0.08786914027720938,0.2250534140818769,0.05625750648377625,0.14815915136310898,0.11949773066201468,0.19991708596007765,0.09923814091684899,0.17761435292135114,0.0,0.12071661030904259
lahisp20share Log10,0.00534763921489459,0.016115476803462824,0.001868430383933687,0.005952835298735501,0.008255186755550361,0.0017917336945068056,0.0036411148405674416,0.0011652623143773848,0.01064416919983989,0.007331078409304702,0.007809903537717991,0.0026326817485988986,0.016694150096824834,0.006598271200825444,0.04138717717271778,0.007801809799397736,0.01003913181220738,0.007366014576639816,0.0008839099566045559,0.0,0.019024062274166465
lahunv10share Log10,0.06858670340385054,0.040921283954044485,0.277373034322617,0.07680387156730203,0.11320800553376126,0.21838898351879435,0.06400584233782583,0.06777586338439663,0.12608580606191613,0.05353037477833995,0.06834666130795582,0.046635456222246165,0.09678849058570226,0.30311472469322603,0.12428055756161276,0.18010022025398206,0.11553922316941621,0.09556931274584862,0.09268840625149062,0.0,0.10669256361537847
lahunv20share Log10,0.014792864283879045,0.012412024493454217,0.019679199862982017,0.019500379302985905,0.01686452337503945,0.0026899203901044723,0.0008644848444669177,0.0026411401814123905,0.02028673542035235,0.002958287644804025,0.0028955185066595166,0.003173816836523839,0.018678996655741967,0.22048082188073742,0.019976378677653703,0.008066247634179739,0.013665854521438814,0.014456038872802286,0.013313300191604331,0.0,0.004137714237511814
lasnap10share Log10,0.2630492923149233,0.34252881177436756,0.024031230779869035,0.2604038710516909,0.13766045029428042,0.12011563757569746,0.12843937374195175,0.05135434229286503,0.23005216238628706,0.35892109441387776,0.09830432403717,0.44418986124388055,0.13224554598425253,0.03276588659919211,0.16848492540794763,0.14800812735216187,0.16202068434563233,0.09303712135482302,0.03578882646383166,0.0,0.1968933391783801
lasnap20share Log10,0.008819567127423265,0.043149467960392006,0.022886573405680146,0.07779587968454209,0.012712338109928844,0.019194234508923068,0.0010385470744523125,0.0023467935873803724,0.012370482195652037,0.008668825442107864,0.01369600978094174,0.017554620169378338,0.014892955889148194,0.0054849309131277555,0.02593581068715372,0.010141630621467198,0.0070539140073698145,0.02233368689772406,0.0033612769660792676,0.0,0.008499930494688354
lawhite10share Log10,0.14686370253009523,0.12113119386176958,0.04196177530830817,0.05937898300323591,0.1104888400247984,0.09498231881155357,0.3700850099967121,0.07125988345131842,0.08581851366502913,0.02565012506096852,0.04032830139169968,0.09452424371531505,0.10892686374240415,0.17266898764244892,0.09723558580965619,0.07446492994210875,0.0686306493754804,0.14358338033863574,0.08243607805096906,0.0,0.11339518828469163
lawhite20share Log10,0.002908312984977506,0.03267458628604692,0.002544686707694813,0.005563973596445179,0.0494518871768707,0.010044581000829948,0.0009533398586065721,0.002090566653948544,0.010002111835881363,0.007854135636179605,0.0034035985029212666,0.002747830085932603,0.02249442272218484,0.006455382698537674,0.01659507378131964,0.009676570481370269,0.002573416307529515,0.008852870021658306,0.002003419105755643,0.0,0.012289037131095368
lalowi10share Log10,0.12567695784573635,0.06508438093569144,0.12375435227961878,0.07696798636123135,0.09190762357014215,0.10566703996613129,0.10273706640600498,0.1777193355322277,0.10496179516045588,0.0835466545744469,0.12463219989681774,0.12277754947528423,0.07734942169262457,0.022184352715968053,0.1175499850645865,0.11433287973511684,0.07656164943927984,0.14081113362877712,0.07612641664538862,0.0,0.09800909771833106
lalowi20share Log10,0.008646337592976193,0.027178799452140138,0.0029683279185355807,0.0705933037878081,0.014142566280998175,0.007806563378118354,0.0008464632594821823,0.0024633754771324857,0.03105802594500296,0.008534837209461677,0.00502404536267028,0.019919101514345533,0.003309640467403302,0.0053239614894922856,0.017379536287832315,0.005812045015620411,0.0076591824861868855,0.0015564421817218174,0.0024709287915531397,0.0,0.025473703648464418
lapop10share Log10,0.07438387550883081,0.05165481914679835,0.3276865256523284,0.08072431055074616,0.06871726966979837,0.0902817292436349,0.04747472998944878,0.04745302131166792,0.08504177347293122,0.2000355448566332,0.32268036550594026,0.0684553521950492,0.08890577264886866,0.017034939421500632,0.08931508225822296,0.05289888262626748,0.06862063877868053,0.13163184037795111,0.28201057706944804,0.0,0.10660410915558069
lapop20share Log10,0.007618272088981283,0.03170479998563398,0.0031647370637110797,0.0745664603764907,0.014027153361259946,0.007615539672034911,0.03421354789260121,0.001865415013027519,0.03333921336322134,0.00928420469982305,0.05134257871797345,0.020523819811096713,0.011444014458763009,0.007644461125025603,0.01776849382910282,0.010847339252582909,0.008087421039641083,0.09216184041809432,0.13692784930014587,0.0,0.036524241142339764
